RES_LAD23CD,WORK_LAD23CD,flow
E06000003,W06000019,1
E06000003,W06000020,1
E06000004,E06000001,2590
E06000004,E06000002,10779
E06000004,E06000003,3652
E06000004,E06000004,44337
E06000004,E06000005,3317
E06000004,E06000006,4
E06000004,E06000007,11
E06000004,E06000008,3
E06000004,E06000009,2
E06000004,E06000010,17
E06000004,E06000011,62
E06000004,E06000012,18
E06000004,E06000013,29
E06000004,E06000014,174
E06000004,E06000015,12
E06000004,E06000016,7
E06000004,E06000017,5
E06000004,E06000018,13
E06000004,E06000019,9
E06000004,E06000020,12
E06000004,E06000021,9
E06000004,E06000022,6
E06000004,E06000023,3
E06000004,E06000024,1
E06000004,E06000025,19
E06000004,E06000026,17
E06000004,E06000030,7
E06000004,E06000031,16
E06000004,E06000032,7
E06000004,E06000033,2
E06000004,E06000034,2
E06000004,E06000035,1
E06000004,E06000036,5
E06000004,E06000037,3
E06000004,E06000038,5
E06000004,E06000039,10
E06000004,E06000040,5
E06000004,E06000041,14
E06000004,E06000042,14
E06000004,E06000043,2
E06000004,E06000044,14
E06000004,E06000045,2
E06000004,E06000046,8
E06000004,E06000047,2513
E06000004,E06000049,12
E06000004,E06000050,5
E06000004,E06000051,14
E06000004,E06000052,16
E06000004,E06000054,20
E06000004,E06000055,1
E06000004,E06000056,14
E06000004,E06000057,91
E06000004,E06000058,2
E06000004,E06000059,2
E06000004,E06000060,10
E06000004,E06000061,10
E06000004,E06000062,26
E06000004,E06000063,42
E06000004,E06000064,27
E06000004,E06000065,2148
E06000004,E06000066,18
E06000004,E07000008,2
E06000004,E07000009,1
E06000004,E07000010,1
E06000004,E07000012,10
E06000004,E07000032,3
E06000004,E07000033,6
E06000004,E07000034,6
E06000004,E07000035,1
E06000004,E07000037,4
E06000004,E07000038,3
E06000004,E07000039,4
E06000004,E07000040,9
E06000004,E07000041,3
E06000004,E07000042,1
E06000004,E07000043,6
E06000004,E07000044,3
E06000004,E07000061,1
E06000004,E07000062,1
E06000004,E07000063,1
E06000004,E07000066,8
E06000004,E07000067,3
E06000004,E07000068,2
E06000004,E07000071,9
E06000004,E07000073,1
E06000004,E07000075,2
E06000004,E07000076,3
E06000004,E07000077,5
E06000004,E07000078,5
E06000004,E07000079,4
E06000004,E07000080,2
E06000004,E07000081,4
E06000004,E07000082,1
E06000004,E07000083,1
E06000004,E07000084,9
E06000004,E07000085,4
E06000004,E07000086,2
E06000004,E07000087,4
E06000004,E07000088,5
E06000004,E07000089,3
E06000004,E07000091,10
E06000004,E07000092,4
E06000004,E07000093,1
E06000004,E07000094,13
E06000004,E07000095,5
E06000004,E07000096,2
E06000004,E07000099,6
E06000004,E07000102,7
E06000004,E07000103,4
E06000004,E07000105,2
E06000004,E07000107,7
E06000004,E07000109,2
E06000004,E07000110,8
E06000004,E07000112,1
E06000004,E07000113,2
E06000004,E07000117,2
E06000004,E07000118,1
E06000004,E07000119,8
E06000004,E07000121,10
E06000004,E07000123,11
E06000004,E07000124,1
E06000004,E07000126,7
E06000004,E07000127,3
E06000004,E07000128,5
E06000004,E07000129,3
E06000004,E07000130,8
E06000004,E07000131,2
E06000004,E07000134,9
E06000004,E07000135,1
E06000004,E07000136,1
E06000004,E07000137,7
E06000004,E07000138,5
E06000004,E07000139,21
E06000004,E07000140,4
E06000004,E07000141,6
E06000004,E07000142,1
E06000004,E07000143,1
E06000004,E07000144,1
E06000004,E07000145,5
E06000004,E07000146,4
E06000004,E07000148,1
E06000004,E07000149,2
E06000004,E07000170,5
E06000004,E07000171,35
E06000004,E07000172,1
E06000004,E07000174,1
E06000004,E07000175,1
E06000004,E07000176,1
E06000004,E07000177,10
E06000004,E07000178,3
E06000004,E07000179,13
E06000004,E07000180,7
E06000004,E07000181,2
E06000004,E07000192,1
E06000004,E07000193,1
E06000004,E07000194,3
E06000004,E07000195,9
E06000004,E07000196,1
E06000004,E07000197,10
E06000004,E07000198,4
E06000004,E07000200,5
E06000004,E07000202,4
E06000004,E07000203,1
E06000004,E07000207,5
E06000004,E07000209,1
E06000004,E07000210,4
E06000004,E07000211,2
E06000004,E07000212,7
E06000004,E07000213,1
E06000004,E07000214,1
E06000004,E07000216,2
E06000004,E07000217,9
E06000004,E07000218,7
E06000004,E07000219,4
E06000004,E07000220,8
E06000004,E07000221,6
E06000004,E07000222,15
E06000004,E07000224,1
E06000004,E07000225,7
E06000004,E07000226,13
E06000004,E07000228,1
E06000004,E07000234,7
E06000004,E07000235,1
E06000004,E07000236,2
E06000004,E07000237,4
E06000004,E07000238,3
E06000004,E07000240,2
E06000004,E07000241,6
E06000004,E07000242,7
E06000004,E07000243,5
E06000004,E07000244,5
E06000004,E07000245,5
E06000004,E08000001,6
E06000004,E08000002,8
E06000004,E08000003,18
E06000004,E08000004,10
E06000004,E08000005,10
E06000004,E08000006,15
E06000004,E08000007,11
E06000004,E08000008,3
E06000004,E08000009,17
E06000004,E08000010,21
E06000004,E08000011,1
E06000004,E08000012,25
E06000004,E08000013,7
E06000004,E08000014,12
E06000004,E08000015,5
E06000004,E08000016,4
E06000004,E08000017,24
E06000004,E08000018,13
E06000004,E08000019,22
E06000004,E08000021,557
E06000004,E08000022,204
E06000004,E08000023,162
E06000004,E08000024,657
E06000004,E08000025,23
E06000004,E08000026,8
E06000004,E08000027,3
E06000004,E08000028,8
E06000004,E08000029,3
E06000004,E08000030,8
E06000004,E08000031,4
E06000004,E08000032,45
E06000004,E08000033,12
E06000004,E08000034,16
E06000004,E08000035,218
E06000004,E08000036,56
E06000004,E08000037,328
E06000004,E09000001,19
E06000004,E09000002,1
E06000004,E09000003,4
E06000004,E09000004,3
E06000004,E09000005,3
E06000004,E09000006,4
E06000004,E09000007,19
E06000004,E09000008,1
E06000004,E09000009,12
E06000004,E09000010,5
E06000004,E09000011,2
E06000004,E09000012,5
E06000004,E09000013,3
E06000004,E09000014,3
E06000004,E09000015,3
E06000004,E09000016,4
E06000004,E09000017,29
E06000004,E09000018,13
E06000004,E09000019,17
