outla,inla,moves
E06000003,W06000011,2.6897
E06000003,W06000012,1.3937
E06000003,W06000023,4.535100000000001
E06000004,E06000001,466.9239
E06000004,E06000002,904.9092
E06000004,E06000003,381.2908
E06000004,E06000004,5175.657966958698
E06000004,E06000005,413.9579
E06000004,E06000006,2.9337
E06000004,E06000007,4.3789
E06000004,E06000008,2.5715
E06000004,E06000009,4.124099999999999
E06000004,E06000010,18.9697
E06000004,E06000011,39.714
E06000004,E06000012,2.9506
E06000004,E06000013,7.3857
E06000004,E06000014,42.9379
E06000004,E06000015,13.953499999999998
E06000004,E06000016,5.0913
E06000004,E06000017,2.4779
E06000004,E06000018,9.5003
E06000004,E06000019,3.7171
E06000004,E06000021,6.457800000000001
E06000004,E06000022,3.8360000000000003
E06000004,E06000023,5.0676
E06000004,E06000025,5.089700000000001
E06000004,E06000026,1.2528
E06000004,E06000030,3.8720999999999997
E06000004,E06000031,7.9558
E06000004,E06000032,2.5843
E06000004,E06000034,2.5548
E06000004,E06000035,13.8769
E06000004,E06000036,3.6641000000000004
E06000004,E06000037,1.2168
E06000004,E06000038,1.2119
E06000004,E06000039,3.6354000000000006
E06000004,E06000040,1.3272
E06000004,E06000041,1.2127
E06000004,E06000042,13.1349
E06000004,E06000043,2.5027999999999997
E06000004,E06000044,2.4683
E06000004,E06000045,4.9313
E06000004,E06000046,1.2255
E06000004,E06000047,751.9181
E06000004,E06000049,8.5251
E06000004,E06000050,12.7467
E06000004,E06000051,5.1935
E06000004,E06000052,10.2917
E06000004,E06000054,9.0337
E06000004,E06000056,7.7661999999999995
E06000004,E06000057,52.032799999999995
E06000004,E06000058,4.075200000000001
E06000004,E06000061,2.4831
E06000004,E06000062,7.3702
E06000004,E06000063,14.0602
E06000004,E06000064,20.709899999999998
E06000004,E06000065,328.54929999999996
E06000004,E06000066,7.305899999999999
E06000004,E07000008,7.9948
E06000004,E07000011,4.0026
E06000004,E07000012,6.6074
E06000004,E07000032,2.5418000000000003
E06000004,E07000033,4.3566
E06000004,E07000034,1.4622
